Activity,Quantity,CaseID,Timestamp
"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4",14,"O6CDEA7NCJASQSYSAMLPGLICTTPP3BGVOCPYFGCFT54O4SCXGN3ULAOYPU","2022-01-19 12:01:21.000"
"G4GQZ2GHZJ7UP6NRYBHZKNZILT47VIEBJ22E4NIPKHW67IWKYPG52AKHKI",14,"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4","2022-01-19 12:01:21.000"
"LDS5UGWBOTBDNU6GZLFOCI6M35MN4HXDU75YHGKOCEANWOMI7RNE4Q2JQQ",2,"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4","2022-01-19 12:01:21.000"
"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4",5,"EJGN54S3OSQXDX5NYOGYZBGLIZZEKQSROO3AXKX2WPJ2CRMAW57YMDXWWE","2022-01-19 12:01:30.000"
"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4",11,"EJGN54S3OSQXDX5NYOGYZBGLIZZEKQSROO3AXKX2WPJ2CRMAW57YMDXWWE","2022-01-19 12:01:30.000"
"G4GQZ2GHZJ7UP6NRYBHZKNZILT47VIEBJ22E4NIPKHW67IWKYPG52AKHKI",11,"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4","2022-01-19 12:01:30.000"
"B2LU2JD5TXEA5BVXCZREPDSP7ZXCHM4VJ6GHBN6WZXFTQVNRFXW4UJXL24",0,"B2LU2JD5TXEA5BVXCZREPDSP7ZXCHM4VJ6GHBN6WZXFTQVNRFXW4UJXL24","2022-01-19 12:02:31.000"
"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4",11,"EJGN54S3OSQXDX5NYOGYZBGLIZZEKQSROO3AXKX2WPJ2CRMAW57YMDXWWE","2022-01-19 12:03:02.000"
"G4GQZ2GHZJ7UP6NRYBHZKNZILT47VIEBJ22E4NIPKHW67IWKYPG52AKHKI",11,"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4","2022-01-19 12:03:02.000"
"C7E53W7AMGG5HY7R3UCFSZQK2YRVHBBLU3YECIWQ264CGKWE3GOPWZZOJ4",102,"EJGN54S3OSQXDX5NYOGYZBGLIZZEKQSROO3AXKX2WPJ2CRMAW57YMDXWWE","2022-01-19 12:03:50.000"
"TXY2RRX6I5INCDASONMXOK6CP7TH75F25TEMMFWJTMU4S2H2MO3MS537K4",88,"O6CDEA7NCJASQSYSAMLPGLICTTPP3BGVOCPYFGCFT54O4SCXGN3ULAOYPU","2022-01-19 12:03:50.000"
